"","Biochemical characterization, cDNA cloning, and molecular modeling of araujiain aII, a papain-like c","Walter D. Obregón 	Daniela Lufrano 	Constanza S. Liggieri ","","","","2011-01-03T00:00:00Z","","23884314"
"","Agrobacterium tumefaciens-mediated transformation of 'Brewster' ('Chen Tze') litchi (Litchi chinensi","Guillermo Padilla 	José A. Pérez 	Irene Perea-Arango ","","","","2013-01-03T00:00:00Z","","42568810"
"","The Host Range of Plasmodiophora Brassicae and Its Relationship to Endogenous Glucosinolate Content","J. Ludwig-Muller 	R. N. Bennett 	G. Kiddle ","","","","1999-01-03T00:00:00Z","","2588412"
"","Genetic structure and distribution of Pythium aphanidermatum populations in Pennsylvania greenhouses","Seonghee Lee 	Carla D. Garzón 	Gary W. Moorman ","","","","2010-01-03T00:00:00Z","","20752571"
"","Boys and Girls Come Out to Play: The Molecular Biology of Dioecious Plants","CHARLES AINSWORTH ","","","","2000-01-03T00:00:00Z","","42770804"
"","Characterization of the proteolytic system present in Vasconcellea quercifolia latex","María José Torres 	Sebastián Alejandro Trejo 	Walter David Obregón ","","","","2012-01-03T00:00:00Z","","43563869"
"","Intergeneric Relationships within the Caricaceae‐Moringaceae Clade (Brassicales) and Potential Morph","Mark E. Olson ","","","","2002-01-03T00:00:00Z","","324046"
"","Extensive Structural Renovation of Retrogenes in the Evolution of the Populus Genome","Zhenglin Zhu 	Yong Zhang 	Manyuan Long ","","","","2009-01-03T00:00:00Z","","40537631"
"","Laticifer proteins play a defensive role against hemibiotrophic and necrotrophic phytopathogens","Diego P. Souza 	Cleverson D. T. Freitas 	Danielle A. Pereira ","","","","2011-01-03T00:00:00Z","","23884139"
"","Stable Integration and Expression of β-Glucuronidase and NPT II Genes in Mango Somatic Embryos","Helena Mathews 	R. E. Litz 	H. D. Wilde ","","","","1992-01-03T00:00:00Z","","20064842"
"","Infection of Alternative Host Plant Species by Ustilago maydis","Claudia G. León-Ramírez 	José Luis Cabrera-Ponce 	Alfredo D. Martínez-Espinoza ","","","","2004-01-03T00:00:00Z","","1514775"
"","Induction of Somatic Embryogenesis and Genetic Transformation of Ohio Buckeye (Aesculus glabra Willd","Harold N. Trick 	John J. Finer ","","","","1999-01-03T00:00:00Z","","4293160"
"","SHORT TAXONOMIC GUIDE TO THE GENUS 'CANDIDATUS PHYTOPLASMA'","G. Firrao 	K. Gibb 	C. Streten ","","","","2005-01-03T00:00:00Z","","41998256"
"","Embryogenic Mango Cultures Selected for Resistance to Colletotrichum gloeosporioides Culture Filtrat","S. Jayasankar 	Richard E. Litz 	Raymond J. Schnell ","","","","1998-01-03T00:00:00Z","","20064966"
